State,Population at 31 December 2023 ('000),Change over previous year ('000),Change over previous year (%)
New South Wales,8434.8,185.5,2.2
Victoria,6906,186.5,2.8
Queensland,5528.3,141.4,2.6
South Australia,1866.3,30.2,1.6
Western Australia,2927.9,93.8,3.3
Tasmania,574.7,2.4,0.4
Northern Territory,253.6,2.4,0.9
Australian Capital Territory,470.2,9.1,2
Australia (a),26966.8,651.2,2.5
,,,
"a. Includes Other Territories comprising Jervis Bay Territory, Christmas Island, the Cocos (Keeling) Islands and Norfolk Island.",,,
,,,
"Source: Australian Bureau of Statistics, National, state and territory population December 2023",,,
