"Annual population growth rate(a)(b)"
,"Annual population change (%)"
"Dec-03","1.13"
"Mar-04","1.11"
"Jun-04","1.07"
"Sep-04","1.09"
"Dec-04","1.10"
"Mar-05","1.17"
"Jun-05","1.22"
"Sep-05","1.28"
"Dec-05","1.32"
"Mar-06","1.35"
"Jun-06","1.36"
"Sep-06","1.47"
"Dec-06","1.56"
"Mar-07","1.69"
"Jun-07","1.84"
"Sep-07","1.86"
"Dec-07","1.88"
"Mar-08","1.96"
"Jun-08","2.02"
"Sep-08","2.11"
"Dec-08","2.19"
"Mar-09","2.14"
"Jun-09","2.08"
"Sep-09","1.98"
"Dec-09","1.82"
"Mar-10","1.68"
"Jun-10","1.57"
"Sep-10","1.45"
"Dec-10","1.40"
"Mar-11","1.39"
"Jun-11","1.40"
"Sep-11","1.49"
"Dec-11","1.58"
"Mar-12","1.67"
"Jun-12","1.76"
"Sep-12","1.79"
"Dec-12","1.80"
"Mar-13","1.78"
"Jun-13","1.74"
"Sep-13","1.69"
"Dec-13","1.61"
"Mar-14","1.58"
"Jun-14","1.50"
"Sep-14","1.48"
"Dec-14","1.47"
"Mar-15","1.45"
"Jun-15","1.45"
"Sep-15","1.45"
"Dec-15","1.46"
"Mar-16","1.51"
"Jun-16","1.57"
"Sep-16","1.65"
"Dec-16","1.67"
"Mar-17","1.69"
"Jun-17","1.66"
"Sep-17","1.62"
"Dec-17","1.53"
"Mar-18","1.51"
"Jun-18","1.51"
"Sep-18","1.53"
"Dec-18","1.56"
"Mar-19","1.54"
"Jun-19","1.49"
"Sep-19","1.48"
"Dec-19","1.49"
"Mar-20","1.44"
"Jun-20","1.24"
"Sep-20","0.77"
"Dec-20","0.43"
"Mar-21","0.10"
"Jun-21","0.14"
"Sep-21","0.28"
"Dec-21","0.55"
"Mar-22","1.00"
"Jun-22","1.28"
"Sep-22","1.78"
"Dec-22","2.11"
"Mar-23","2.32"
"Jun-23","2.48"
"Sep-23","2.58"
"Dec-23","2.47"

"a. Annual growth calculated at the end of each quarter."
"b. All data after 30 June 2021 are subject to revision."

"Source: Australian Bureau of Statistics, National, state and territory population December 2023"
